Date : 2026-07-26 01:17:34
Directory : c:\Users\Public\Nandu\project-astra
Total : 93 files,  21693 codes, 98 comments, 17104 blanks, all 38895 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         71 |     14,653 |         66 |     16,771 |     31,490 |
| JSON               |          6 |      6,279 |          4 |         10 |      6,293 |
| TypeScript         |          7 |        352 |         28 |        139 |        519 |
| PostCSS            |          3 |        343 |          0 |        164 |        507 |
| HTML               |          1 |         22 |          0 |          1 |         23 |
| JavaScript         |          1 |         21 |          0 |          2 |         23 |
| Markdown           |          1 |         14 |          0 |         15 |         29 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| XML                |          2 |          2 |          0 |          1 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |         93 |     21,693 |         98 |     17,104 |     38,895 |
| . (Files)                                                                              |          2 |      1,256 |          0 |          2 |      1,258 |
| astra-ui                                                                               |         91 |     20,437 |         98 |     17,102 |     37,637 |
| astra-ui (Files)                                                                       |          9 |      5,098 |          5 |         29 |      5,132 |
| astra-ui\src                                                                           |         82 |     15,339 |         93 |     17,073 |     32,505 |
| astra-ui\src (Files)                                                                   |          4 |        309 |          9 |         84 |        402 |
| astra-ui\src\assets                                                                    |          2 |          2 |          0 |          1 |          3 |
| astra-ui\src\components                                                                |         45 |      6,878 |         65 |      6,699 |     13,642 |
| astra-ui\src\components (Files)                                                        |         41 |      6,504 |         39 |      6,586 |     13,129 |
| astra-ui\src\components\meteor                                                         |          4 |        374 |         26 |        113 |        513 |
| astra-ui\src\config                                                                    |          1 |          4 |          0 |          1 |          5 |
| astra-ui\src\context                                                                   |          1 |         39 |          0 |          9 |         48 |
| astra-ui\src\firebase                                                                  |          1 |         14 |          2 |          8 |         24 |
| astra-ui\src\layouts                                                                   |          1 |        101 |          0 |        174 |        275 |
| astra-ui\src\pages                                                                     |         26 |      7,959 |         17 |     10,055 |     18,031 |
| astra-ui\src\services                                                                  |          1 |         33 |          0 |         42 |         75 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Public\Nandu\project-astra\astra-ui\README.md                                 | Markdown           |         14 |          0 |         15 |         29 |
| c:\Users\Public\Nandu\project-astra\astra-ui\eslint.config.js                          | JavaScript         |         21 |          0 |          2 |         23 |
| c:\Users\Public\Nandu\project-astra\astra-ui\index.html                                | HTML               |         22 |          0 |          1 |         23 |
| c:\Users\Public\Nandu\project-astra\astra-ui\package-lock.json                         | JSON               |      4,943 |          0 |          1 |      4,944 |
| c:\Users\Public\Nandu\project-astra\astra-ui\package.json                              | JSON               |         39 |          0 |          1 |         40 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\App.css                               | PostCSS            |        158 |          0 |         27 |        185 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\App.tsx                               | TypeScript JSX     |        134 |          9 |         53 |        196 |
